Date,Description,Amount,Category,Account,Type,Confidence,IsRecurring,RecurringPattern
2024-06-01,"Salary Deposit",4500,"Income","Checking","Credit",0.95,true,"monthly"
2024-06-03,"Rent Payment",-1800,"Housing","Checking","Debit",0.98,true,"monthly"
2024-06-05,"Electric Bill",-85,"Utilities","Checking","Debit",0.85,true,"monthly"
2024-06-05,"Restaurant",-47.03,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-06-07,"Grocery Store",-149.62,"Groceries","Checking","Debit",0.75,false,""
2024-06-08,"Online Purchase",-113.21,"Shopping","Credit Card","Debit",0.5,false,""
2024-06-09,"Coffee Shop",-17.62,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-06-10,"Gas Station",-60.89,"Transportation","Credit Card","Debit",0.7,false,""
2024-06-13,"Restaurant",-47.49,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-06-14,"Grocery Store",-109.23,"Groceries","Checking","Debit",0.75,false,""
2024-06-16,"Movie Theater",-134.35,"Entertainment","Checking","Debit",0.5,false,""
2024-06-17,"Coffee Shop",-16.32,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-06-21,"Grocery Store",-123.05,"Groceries","Checking","Debit",0.75,false,""
2024-06-21,"Restaurant",-66.77,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-06-24,"Pharmacy",-131.46,"Healthcare","Credit Card","Debit",0.5,false,""
2024-06-25,"Gas Station",-54.22,"Transportation","Credit Card","Debit",0.7,false,""
2024-06-25,"Coffee Shop",-55.6,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-06-28,"Grocery Store",-106.79,"Groceries","Checking","Debit",0.75,false,""
2024-07-01,"Salary Deposit",4500,"Income","Checking","Credit",0.95,true,"monthly"
2024-07-03,"Rent Payment",-1800,"Housing","Checking","Debit",0.98,true,"monthly"
2024-07-05,"Electric Bill",-85,"Utilities","Checking","Debit",0.85,true,"monthly"
2024-07-05,"Restaurant",-64.75,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-07-07,"Grocery Store",-135.41,"Groceries","Checking","Debit",0.75,false,""
2024-07-08,"Online Purchase",-139.97,"Shopping","Credit Card","Debit",0.5,false,""
2024-07-09,"Coffee Shop",-20.05,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-07-10,"Gas Station",-53.6,"Transportation","Credit Card","Debit",0.7,false,""
2024-07-13,"Restaurant",-18.72,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-07-14,"Grocery Store",-143.26,"Groceries","Checking","Debit",0.75,false,""
2024-07-16,"Movie Theater",-208.26,"Entertainment","Credit Card","Debit",0.5,false,""
2024-07-17,"Coffee Shop",-29.02,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-07-21,"Grocery Store",-130.78,"Groceries","Checking","Debit",0.75,false,""
2024-07-21,"Restaurant",-39.79,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-07-24,"Pharmacy",-219.12,"Healthcare","Checking","Debit",0.5,false,""
2024-07-25,"Gas Station",-63.95,"Transportation","Credit Card","Debit",0.7,false,""
2024-07-25,"Coffee Shop",-79.32,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-07-28,"Grocery Store",-120.98,"Groceries","Checking","Debit",0.75,false,""
2024-08-01,"Salary Deposit",4500,"Income","Checking","Credit",0.95,true,"monthly"
2024-08-03,"Rent Payment",-1800,"Housing","Checking","Debit",0.98,true,"monthly"
2024-08-05,"Electric Bill",-85,"Utilities","Checking","Debit",0.85,true,"monthly"
2024-08-05,"Restaurant",-29.83,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-08-07,"Grocery Store",-124.62,"Groceries","Checking","Debit",0.75,false,""
2024-08-08,"Online Purchase",-118.98,"Shopping","Credit Card","Debit",0.5,false,""
2024-08-09,"Coffee Shop",-32.38,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-08-10,"Gas Station",-58.96,"Transportation","Credit Card","Debit",0.7,false,""
2024-08-13,"Restaurant",-27.65,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-08-14,"Grocery Store",-146.55,"Groceries","Checking","Debit",0.75,false,""
2024-08-16,"Movie Theater",-75.73,"Entertainment","Credit Card","Debit",0.5,false,""
2024-08-17,"Coffee Shop",-55.21,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-08-21,"Grocery Store",-149.4,"Groceries","Checking","Debit",0.75,false,""
2024-08-21,"Restaurant",-49.17,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-08-24,"Pharmacy",-29.53,"Healthcare","Checking","Debit",0.5,false,""
2024-08-25,"Gas Station",-58.97,"Transportation","Credit Card","Debit",0.7,false,""
2024-08-25,"Coffee Shop",-22.76,"Food & Dining","Credit Card","Debit",0.6,false,""
2024-08-28,"Grocery Store",-134.56,"Groceries","Checking","Debit",0.75,false,""
